Date,Zone_Name,temperature_2m_mean,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_mean,relative_humidity_2m_min,dew_point_2m_mean,vpd_mean_kpa,vpd_max_kpa
2012-01-01,100 Mile House Fire Zone,-6.578308,-3.1512146,0.038895287,3.1406076,70.057205,54.082645,-11.133881,0.11177501,0.22229823
2012-01-02,100 Mile House Fire Zone,-2.3987122,0.6836853,0.15907632,2.8702297,71.68109,57.231243,-6.8170166,0.145006,0.27451915
2012-01-03,100 Mile House Fire Zone,-0.10122681,2.46344,2.8962889,3.564256,76.25357,63.425552,-3.7799683,0.14397815,0.2667706
2012-01-04,100 Mile House Fire Zone,2.894165,4.674011,10.068332,4.5906672,82.25723,72.581085,0.16687012,0.13344216,0.23378992
2012-01-05,100 Mile House Fire Zone,-1.4273987,1.3708496,1.9277306,3.5323982,79.94122,65.255585,-4.4403687,0.11036086,0.23434907
2012-01-06,100 Mile House Fire Zone,-4.028717,-1.5532532,0.4338709,1.6977986,81.028404,67.42944,-6.801697,0.08599427,0.17754468
2012-01-07,100 Mile House Fire Zone,-4.1611633,-2.3052979,2.5314856,2.6224842,82.47371,71.825424,-6.700775,0.07865405,0.14527094
2012-01-08,100 Mile House Fire Zone,-0.73135376,1.933075,0.33763325,3.0682917,82.0524,67.69976,-3.4126892,0.1039246,0.22683457
2012-01-09,100 Mile House Fire Zone,1.7810364,4.8539124,2.1852067,4.470692,72.8348,58.63343,-2.5752869,0.1887058,0.3571819
2012-01-10,100 Mile House Fire Zone,-7.2761536,-2.5776367,0.086539336,3.4919186,56.768383,39.804,-14.401123,0.15291527,0.30415955
2012-01-11,100 Mile House Fire Zone,-10.75235,-6.9509277,0.0058353143,1.1058766,61.010075,45.336445,-16.814178,0.10492419,0.19827673
2012-01-12,100 Mile House Fire Zone,-8.760437,-5.381134,0.061482467,1.7644593,61.907494,47.734665,-14.747772,0.12001526,0.21383888
2012-01-13,100 Mile House Fire Zone,-8.907684,-5.225647,0.2287734,1.7638563,73.104706,55.07114,-12.849274,0.08376305,0.1860116
2012-01-14,100 Mile House Fire Zone,-6.6042786,-4.156616,5.4301124,3.0377798,78.848366,65.48963,-9.665436,0.07880029,0.15492785
2012-01-15,100 Mile House Fire Zone,-13.506348,-7.357544,1.5859284,2.7234108,72.958244,44.835712,-17.319733,0.058247805,0.19389589
2012-01-16,100 Mile House Fire Zone,-20.944641,-18.407547,0.9026326,1.3066987,67.78701,54.51815,-25.333282,0.03697042,0.065014414
2012-01-17,100 Mile House Fire Zone,-26.762268,-23.812607,0.859516,1.7989188,64.993866,49.78971,-31.367203,0.023804296,0.044679087
2012-01-18,100 Mile House Fire Zone,-29.291412,-25.723526,0.15547757,1.1082377,64.868576,46.681282,-33.81012,0.01885473,0.039892785
2012-01-19,100 Mile House Fire Zone,-25.80658,-21.602615,0.04432052,0.5873263,61.4249,42.243744,-31.046066,0.028642986,0.062564544
2012-01-20,100 Mile House Fire Zone,-16.922882,-10.832733,3.1056004,1.8513062,76.75981,46.704056,-20.036362,0.037686795,0.14250457
2012-01-21,100 Mile House Fire Zone,-7.137787,-3.5507507,5.1386576,2.7788737,82.617226,62.944023,-9.592712,0.06214699,0.17411053
2012-01-22,100 Mile House Fire Zone,-6.535614,-2.8354492,1.5589981,3.6776674,79.73131,60.319794,-9.456787,0.075911105,0.19668445
2012-01-23,100 Mile House Fire Zone,-4.13031,-0.76834106,0.81115013,3.7103302,71.41493,55.684345,-8.5336,0.12858206,0.25591314
2012-01-24,100 Mile House Fire Zone,-2.176178,-0.39587402,4.3726807,4.158193,71.883736,63.09018,-6.565735,0.14636534,0.21903211
2012-01-25,100 Mile House Fire Zone,-2.3797913,0.46362305,1.8390694,4.3073626,65.81087,53.46039,-7.906769,0.17531049,0.29399967
2012-01-26,100 Mile House Fire Zone,-4.979065,-1.6677551,2.5027804,5.022051,61.736095,48.23187,-11.193481,0.16141498,0.27981836
2012-01-27,100 Mile House Fire Zone,-6.2102356,-2.2303162,0.35488904,3.66054,62.26244,46.174484,-12.255859,0.14491488,0.27907795
2012-01-28,100 Mile House Fire Zone,-4.507141,-2.540619,5.339438,2.7843676,83.54457,72.135086,-6.871582,0.07194397,0.14118457
2012-01-29,100 Mile House Fire Zone,-0.27236938,3.5422668,1.4953338,3.1061687,84.842804,64.575485,-2.5130005,0.090761006,0.27894306
2012-01-30,100 Mile House Fire Zone,-0.79818726,2.5924988,1.7425392,2.8735402,81.12591,63.555084,-3.6300964,0.10875568,0.2682815
2012-01-31,100 Mile House Fire Zone,-0.9248352,1.9578247,1.1440395,2.7892303,74.83415,60.77056,-4.8280334,0.14366972,0.2759848
